Purchase Date,Purchase Cost,Source,Sale Date,Sale Price,Profit,month,year,turnover
1/1/2016,$101.76 ,Third Party,2/12/2016,$151.76 ,$127.05 ,1,2016,48.5120707
1/2/2016,$70.17 ,Third Party,2/13/2016,$120.17 ,$63.14 ,1,2016,42.90757963
1/3/2016,$29.37 ,Third Party,2/14/2016,$79.37 ,$78.01 ,1,2016,54.74676075
1/4/2016,$38.13 ,Third Party,2/15/2016,$88.13 ,$67.65 ,1,2016,55.10705328
1/5/2016,$92.66 ,Third Party,2/16/2016,$142.66 ,$83.47 ,1,2016,52.61740758
1/6/2016,$82.36 ,Third Party,2/17/2016,$132.36 ,$50.85 ,1,2016,48.4171245
1/7/2016,$36.72 ,Third Party,2/18/2016,$86.72 ,$62.95 ,1,2016,45.22887441
1/8/2016,$54.67 ,Third Party,2/19/2016,$104.67 ,$97.21 ,1,2016,61.14715626
1/9/2016,$50.89 ,Third Party,2/20/2016,$100.89 ,$75.15 ,1,2016,44.29124701
1/10/2016,$103.63 ,Third Party,2/21/2016,$153.63 ,$95.41 ,1,2016,60.21695495
1/11/2016,$67.08 ,Third Party,2/22/2016,$117.08 ,$56.74 ,1,2016,57.72055022
1/12/2016,$96.62 ,Third Party,2/23/2016,$146.62 ,$136.36 ,1,2016,59.06249426
1/13/2016,$82.56 ,Third Party,2/24/2016,$132.56 ,$74.74 ,1,2016,44.5704177
1/14/2016,$49.49 ,Third Party,2/25/2016,$99.49 ,$60.47 ,1,2016,44.96520591
1/15/2016,$103.74 ,Third Party,2/26/2016,$153.74 ,$111.14 ,1,2016,61.68460375
1/16/2016,$58.55 ,Third Party,2/27/2016,$108.55 ,$106.65 ,1,2016,53.85157343
1/17/2016,$85.46 ,Third Party,2/28/2016,$135.46 ,$95.53 ,1,2016,44.53550051
1/18/2016,$84.49 ,Third Party,2/29/2016,$134.49 ,$102.28 ,1,2016,50.86068366
1/19/2016,$69.54 ,Third Party,3/1/2016,$119.54 ,$96.54 ,1,2016,49.11101143
1/20/2016,$118.01 ,Third Party,3/2/2016,$168.01 ,$139.17 ,1,2016,51.39090551
1/21/2016,$95.83 ,Third Party,3/3/2016,$145.83 ,$93.49 ,1,2016,48.2860026
1/22/2016,$29.61 ,Third Party,3/4/2016,$79.61 ,$63.14 ,1,2016,57.68879716
1/23/2016,$120.28 ,Third Party,3/5/2016,$170.28 ,$111.08 ,1,2016,51.5736039
1/24/2016,$112.67 ,Third Party,3/6/2016,$162.67 ,$152.44 ,1,2016,49.66054397
1/25/2016,$64.76 ,Third Party,3/7/2016,$114.76 ,$89.59 ,1,2016,59.98433937
1/26/2016,$114.71 ,Third Party,3/8/2016,$164.71 ,$162.61 ,1,2016,44.99354353
1/27/2016,$59.50 ,Third Party,3/9/2016,$109.50 ,$78.02 ,1,2016,48.33753793
1/28/2016,$79.47 ,Third Party,3/10/2016,$129.47 ,$97.62 ,1,2016,44.24828597
1/29/2016,$58.42 ,Thrift Store,3/11/2016,$108.42 ,$56.04 ,1,2016,58.81730802
1/30/2016,$84.92 ,Thrift Store,3/12/2016,$134.92 ,$77.50 ,1,2016,42.60051839
1/31/2016,$114.77 ,Thrift Store,3/13/2016,$164.77 ,$58.04 ,1,2016,53.62421731
2/1/2016,$82.77 ,Thrift Store,3/14/2016,$132.77 ,$90.12 ,2,2016,61.86367224
2/2/2016,$81.37 ,Thrift Store,3/15/2016,$131.37 ,$60.71 ,2,2016,46.64747897
2/3/2016,$46.31 ,Thrift Store,3/16/2016,$96.31 ,$75.96 ,2,2016,42.76668611
2/4/2016,$45.05 ,Thrift Store,3/17/2016,$95.05 ,$66.45 ,2,2016,48.00743339
2/5/2016,$66.56 ,Thrift Store,3/18/2016,$116.56 ,$90.93 ,2,2016,42.99869588
2/6/2016,$33.28 ,Thrift Store,3/19/2016,$83.28 ,$67.00 ,2,2016,60.5281058
2/7/2016,$103.79 ,Thrift Store,3/20/2016,$153.79 ,$123.87 ,2,2016,54.17385494
2/8/2016,$26.83 ,Thrift Store,3/21/2016,$76.83 ,$72.93 ,2,2016,53.05898121
2/9/2016,$30.28 ,Thrift Store,3/22/2016,$80.28 ,$55.00 ,2,2016,57.9381508
2/10/2016,$29.15 ,Thrift Store,3/23/2016,$79.15 ,$57.20 ,2,2016,56.32657267
