Year,Count,growth pct,,Count Pivot,,,Growth Pivot,
2009,32478,0.78%,,Row Labels, Sum of Count ,,Row Labels,Sum of growth pct
2010,32732,2.32%,,2009,"32,478",,2009,0.78%
2011,33510,2.81%,,2010,"32,732",,2010,2.32%
2012,34480,2.68%,,2011,"33,510",,2011,2.81%
2013,35429,2.29%,,2012,"34,480",,2012,2.68%
2014,36258,0.73%,,2013,"35,429",,2013,2.29%
2015,36525,1.01%,,2014,"36,258",,2014,0.73%
2016,36899,0.92%,,2015,"36,525",,2015,1.01%
2017,37241,1.62%,,2016,"36,899",,2016,0.92%
2018,37855,2.17%,,2017,"37,241",,2017,1.62%
2019,38695,1.28%,,2018,"37,855",,2018,2.17%
2020,39198,2.08%,,2019,"38,695",,2019,1.28%
2021,40031,1.64%,,2020,"39,198",,2020,2.08%
2022,40700,2.68%,,2021,"40,031",,2021,1.64%
2023,41822,,,2022,"40,700",,2022,2.68%
,,,,2023,"41,822",,2023,
,avg growth,1.79%,,Grand Total,"553,853",,Grand Total,25.02%
